,Population,Bag,Oyster,Length,Type,Site,Year
1,CL1,3,29010,83.84,Commercial,RWU,2022
2,CL1,3,29011,70.06,Commercial,RWU,2022
3,CL1,3,29012,74.9,Commercial,RWU,2022
4,CL1,3,29018,53.33,Commercial,RWU,2022
5,CL1,3,29021,61.87,Commercial,RWU,2022
6,CL1,3,29025,103.34,Commercial,RWU,2022
7,CL1,3,29030,85.81,Commercial,RWU,2022
8,CL1,3,29033,78.06,Commercial,RWU,2022
9,CL1,3,29044,71.22,Commercial,RWU,2022
10,CL1,3,29047,59.03,Commercial,RWU,2022
11,CL1,3,29051,83.05,Commercial,RWU,2022
12,CL1,3,29063,81.48,Commercial,RWU,2022
13,CL1,3,29064,78.58,Commercial,RWU,2022
14,CL1,3,29066,102.71,Commercial,RWU,2022
15,CL1,3,29073,85.3,Commercial,RWU,2022
16,CL1,3,29075,78.09,Commercial,RWU,2022
17,CL1,3,29076,78.56,Commercial,RWU,2022
18,CL1,3,29078,82.58,Commercial,RWU,2022
19,CL1,3,29089,77.45,Commercial,RWU,2022
20,CL1,3,29091,64.47,Commercial,RWU,2022
21,CL1,3,29093,48.66,Commercial,RWU,2022
22,CL1,3,29101,64.99,Commercial,RWU,2022
23,CL1,3,29104,72.09,Commercial,RWU,2022
24,CL1,3,29106,98.67,Commercial,RWU,2022
25,CL1,3,29108,67.81,Commercial,RWU,2022
26,CL1,3,29110,74.89,Commercial,RWU,2022
27,CL1,3,29114,78.03,Commercial,RWU,2022
28,CL1,3,29122,86.22,Commercial,RWU,2022
29,CL1,3,29124,87.4,Commercial,RWU,2022
30,CL1,3,29126,89.16,Commercial,RWU,2022
31,CL1,3,29131,66.84,Commercial,RWU,2022
32,CL1,3,29144,71.24,Commercial,RWU,2022
33,CL1,3,29148,78.03,Commercial,RWU,2022
34,CL1,3,29161,77.79,Commercial,RWU,2022
35,CL1,3,29176,93.7,Commercial,RWU,2022
36,CL1,3,29181,90.06,Commercial,RWU,2022
37,CL1,2,29422,65.98,Commercial,RWU,2022
38,CL1,2,29424,71.34,Commercial,RWU,2022
39,CL1,2,29441,79.9,Commercial,RWU,2022
40,CL1,2,29446,65.23,Commercial,RWU,2022
41,CL1,2,29451,64.73,Commercial,RWU,2022
42,CL1,2,29452,87.87,Commercial,RWU,2022
43,CL1,2,29453,69.52,Commercial,RWU,2022
44,CL1,2,29456,57.74,Commercial,RWU,2022
45,CL1,2,29457,56.15,Commercial,RWU,2022
46,CL1,2,29459,69.54,Commercial,RWU,2022
47,CL1,2,29471,81.73,Commercial,RWU,2022
48,CL1,2,29472,71.72,Commercial,RWU,2022
49,CL1,2,29474,75.89,Commercial,RWU,2022
50,CL1,2,29476,83.66,Commercial,RWU,2022
51,CL1,2,29478,82.62,Commercial,RWU,2022
52,CL1,2,29480,69.29,Commercial,RWU,2022
53,CL1,2,29481,66,Commercial,RWU,2022
54,CL1,2,29482,71.11,Commercial,RWU,2022
55,CL1,2,29483,69.27,Commercial,RWU,2022
56,CL1,2,29487,74.16,Commercial,RWU,2022
57,CL1,2,29488,94.52,Commercial,RWU,2022
58,CL1,2,29490,82.1,Commercial,RWU,2022
59,CL1,2,29493,84.35,Commercial,RWU,2022
60,CL1,2,29494,77.33,Commercial,RWU,2022
61,CL1,2,29495,70.7,Commercial,RWU,2022
62,CL1,2,29496,66.05,Commercial,RWU,2022
63,CL1,2,29499,80.36,Commercial,RWU,2022
64,CL1,2,29502,72.57,Commercial,RWU,2022
65,CL1,2,29503,79.35,Commercial,RWU,2022
66,CL1,2,29504,78.05,Commercial,RWU,2022
67,CL1,2,29506,57.87,Commercial,RWU,2022
68,CL1,2,29535,71.36,Commercial,RWU,2022
69,CL1,2,29536,48.77,Commercial,RWU,2022
70,CL1,2,29570,101.07,Commercial,RWU,2022
71,CL1,2,29573,76.01,Commercial,RWU,2022
72,CL1,2,29574,78.2,Commercial,RWU,2022
73,CL1,2,29579,71.68,Commercial,RWU,2022
74,CL1,2,29580,89.4,Commercial,RWU,2022
75,CL1,2,29600,82.06,Commercial,RWU,2022
76,CL1,2,29603,74.53,Commercial,RWU,2022
77,CL1,1,29747,65.7,Commercial,RWU,2022
78,CL1,1,29749,66.1,Commercial,RWU,2022
79,CL1,1,29779,74.14,Commercial,RWU,2022
80,CL1,1,29801,76.81,Commercial,RWU,2022
81,CL1,1,29804,87.62,Commercial,RWU,2022
82,CL1,1,29809,93.71,Commercial,RWU,2022
83,CL1,1,29811,57.72,Commercial,RWU,2022
84,CL1,1,29814,85.74,Commercial,RWU,2022
85,CL1,1,29817,89.93,Commercial,RWU,2022
86,CL1,1,29826,95.92,Commercial,RWU,2022
87,CL1,1,29827,68.36,Commercial,RWU,2022
88,MV,2,28908,51.4,Wild,RWU,2022
89,MV,2,28909,64.21,Wild,RWU,2022
90,MV,2,28910,52.86,Wild,RWU,2022
91,MV,2,28911,54.46,Wild,RWU,2022
92,MV,2,28915,59.27,Wild,RWU,2022
93,MV,2,28921,58.48,Wild,RWU,2022
94,MV,2,28925,75.47,Wild,RWU,2022
95,CL2,2,28954,84.66,Commercial,RWU,2022
96,MV,2,28956,63.45,Wild,RWU,2022
97,MV,2,28960,62.44,Wild,RWU,2022
98,MV,2,28962,70.31,Wild,RWU,2022
99,MV,2,28968,53.34,Wild,RWU,2022
100,MV,2,28972,59.71,Wild,RWU,2022
101,MV,2,28973,53.49,Wild,RWU,2022
102,MV,2,28976,65.56,Wild,RWU,2022
103,MV,2,28987,61.14,Wild,RWU,2022
104,MV,2,28989,66.63,Wild,RWU,2022
105,MV,2,28995,56.66,Wild,RWU,2022
106,MV,2,28996,81.62,Wild,RWU,2022
107,MV,2,28997,55.18,Wild,RWU,2022
108,MV,2,28998,50.09,Wild,RWU,2022
109,MV,2,28999,52.06,Wild,RWU,2022
110,MV,2,29000,59.01,Wild,RWU,2022
111,MV,2,29001,56.69,Wild,RWU,2022
112,MV,2,29002,53.56,Wild,RWU,2022
113,MV,2,29003,62.41,Wild,RWU,2022
114,MV,2,29006,58.81,Wild,RWU,2022
115,MV,2,29007,49.05,Wild,RWU,2022
116,GH,3,29008,56.48,Wild,RWU,2022
117,GH,3,29016,71.05,Wild,RWU,2022
118,GH,3,29020,44,Wild,RWU,2022
119,CL1,1,29830,53.72,Commercial,RWU,2022
120,GH,3,29023,57.61,Wild,RWU,2022
121,GH,3,29024,76.24,Wild,RWU,2022
122,GH,3,29026,66.41,Wild,RWU,2022
123,GH,3,29028,70.67,Wild,RWU,2022
124,GH,3,29029,63.82,Wild,RWU,2022
125,GH,3,29031,78.13,Wild,RWU,2022
126,GH,3,29032,62.5,Wild,RWU,2022
127,GH,3,29034,74.03,Wild,RWU,2022
128,GH,3,29035,74.53,Wild,RWU,2022
129,GH,3,29036,57.13,Wild,RWU,2022
130,GH,3,29037,71.46,Wild,RWU,2022
131,GH,3,29040,78.08,Wild,RWU,2022
132,GH,3,29041,66.94,Wild,RWU,2022
133,GH,3,29042,49.9,Wild,RWU,2022
134,GH,3,29043,56.29,Wild,RWU,2022
135,GH,3,29045,56.59,Wild,RWU,2022
136,GH,3,29046,75.17,Wild,RWU,2022
137,GH,3,29049,62.83,Wild,RWU,2022
138,GH,3,29050,66.44,Wild,RWU,2022
139,GH,3,29052,63.76,Wild,RWU,2022
140,GH,3,29053,65.52,Wild,RWU,2022
141,GH,3,29056,79.63,Wild,RWU,2022
142,GH,3,29058,55.02,Wild,RWU,2022
143,GH,3,29060,83.22,Wild,RWU,2022
144,CL1,1,29835,72.97,Commercial,RWU,2022
145,GH,3,29065,59.54,Wild,RWU,2022
146,GH,3,29067,52.38,Wild,RWU,2022
147,GH,3,29068,76.44,Wild,RWU,2022
148,GH,3,29069,63.36,Wild,RWU,2022
149,GH,3,29074,56.4,Wild,RWU,2022
150,CL1,1,29837,92.35,Commercial,RWU,2022
151,GH,3,29080,70.36,Wild,RWU,2022
152,GH,3,29081,62.58,Wild,RWU,2022
153,GH,3,29083,66.5,Wild,RWU,2022
154,GH,3,29088,59.64,Wild,RWU,2022
155,GH,3,29090,40.89,Wild,RWU,2022
156,CT,3,29095,65.39,Wild,RWU,2022
157,GH,3,29096,70.25,Wild,RWU,2022
158,CT,3,29097,62.35,Wild,RWU,2022
159,GH,3,29098,66.54,Wild,RWU,2022
160,GH,3,29099,68.71,Wild,RWU,2022
161,CT,3,29100,68.85,Wild,RWU,2022
162,CT,3,29103,62.5,Wild,RWU,2022
163,CT,3,29105,77.99,Wild,RWU,2022
164,CL1,1,29839,90.15,Commercial,RWU,2022
165,CL1,1,29840,70.99,Commercial,RWU,2022
166,CL1,1,29846,77.72,Commercial,RWU,2022
167,CL1,1,29849,71.7,Commercial,RWU,2022
168,CT,3,29208,84.18,Wild,RWU,2022
169,CT,3,29209,57.04,Wild,RWU,2022
170,CT,3,29210,72.38,Wild,RWU,2022
171,CT,3,29211,58.59,Wild,RWU,2022
172,CT,3,29213,63.11,Wild,RWU,2022
173,CT,3,29214,63.15,Wild,RWU,2022
174,CT,3,29215,61.1,Wild,RWU,2022
175,CT,3,29216,53.82,Wild,RWU,2022
176,CT,3,29217,67.23,Wild,RWU,2022
177,CT,3,29218,75.27,Wild,RWU,2022
178,CT,3,29219,58.02,Wild,RWU,2022
179,CT,3,29220,56.27,Wild,RWU,2022
180,CT,3,29221,73.87,Wild,RWU,2022
181,CT,3,29222,78.79,Wild,RWU,2022
182,CT,3,29226,52.71,Wild,RWU,2022
183,CT,3,29228,66.93,Wild,RWU,2022
184,CT,3,29229,48.3,Wild,RWU,2022
185,CT,3,29230,75.68,Wild,RWU,2022
186,CT,3,29231,63.23,Wild,RWU,2022
187,CT,3,29232,55.85,Wild,RWU,2022
188,CT,3,29233,63.29,Wild,RWU,2022
189,CT,3,29234,59.52,Wild,RWU,2022
190,CT,3,29235,80.35,Wild,RWU,2022
191,CT,3,29236,67.56,Wild,RWU,2022
192,CT,3,29237,68.16,Wild,RWU,2022
193,CT,3,29238,67.39,Wild,RWU,2022
194,CT,3,29239,57.56,Wild,RWU,2022
195,CT,3,29240,50.9,Wild,RWU,2022
196,MV,3,29241,70.67,Wild,RWU,2022
197,CT,3,29242,54.71,Wild,RWU,2022
198,CT,3,29243,66.35,Wild,RWU,2022
199,CT,3,29244,76.39,Wild,RWU,2022
200,CT,3,29245,63.19,Wild,RWU,2022
201,CT,3,29249,86.57,Wild,RWU,2022
202,CT,3,29250,69.21,Wild,RWU,2022
203,MV,3,29252,56.98,Wild,RWU,2022
204,CT,3,29253,40.18,Wild,RWU,2022
205,CT,3,29254,73.5,Wild,RWU,2022
206,MV,3,29255,56.38,Wild,RWU,2022
207,MV,3,29256,61.45,Wild,RWU,2022
208,CT,3,29257,54.78,Wild,RWU,2022
209,CT,3,29258,65.95,Wild,RWU,2022
210,CT,3,29259,64.6,Wild,RWU,2022
211,CT,3,29260,59.54,Wild,RWU,2022
212,MV,3,29261,58.82,Wild,RWU,2022
213,MV,3,29263,71.35,Wild,RWU,2022
214,CT,3,29264,70.99,Wild,RWU,2022
215,CT,3,29265,56.28,Wild,RWU,2022
216,MV,3,29266,54.57,Wild,RWU,2022
217,MV,3,29267,65.48,Wild,RWU,2022
218,CT,3,29268,50.83,Wild,RWU,2022
219,MV,3,29269,55.54,Wild,RWU,2022
220,MV,3,29270,72.95,Wild,RWU,2022
221,MV,3,29271,65.53,Wild,RWU,2022
222,CT,3,29278,66.69,Wild,RWU,2022
223,MV,3,29280,49.17,Wild,RWU,2022
224,MV,3,29282,57.5,Wild,RWU,2022
225,MV,3,29283,43.93,Wild,RWU,2022
226,CT,3,29284,64.62,Wild,RWU,2022
227,MV,3,29286,47.56,Wild,RWU,2022
228,MV,3,29287,61.36,Wild,RWU,2022
229,MV,3,29288,62.51,Wild,RWU,2022
230,MV,3,29289,54.05,Wild,RWU,2022
231,MV,3,29290,56.08,Wild,RWU,2022
232,MV,3,29291,69.38,Wild,RWU,2022
233,MV,3,29296,50,Wild,RWU,2022
234,MV,3,29303,67.69,Wild,RWU,2022
235,MV,3,29305,59.2,Wild,RWU,2022
236,MV,3,29307,53.2,Wild,RWU,2022
237,CL2,2,29308,75.78,Commercial,RWU,2022
238,CL2,2,29309,104.46,Commercial,RWU,2022
239,CL2,2,29312,62.17,Commercial,RWU,2022
240,CL2,2,29314,73.02,Commercial,RWU,2022
241,CL2,2,29317,80.31,Commercial,RWU,2022
242,CL2,2,29326,65.75,Commercial,RWU,2022
243,CL2,2,29327,72.3,Commercial,RWU,2022
244,CL2,2,29329,85.28,Commercial,RWU,2022
245,CL2,2,29331,84.07,Commercial,RWU,2022
246,CL2,2,29336,85.94,Commercial,RWU,2022
247,CL2,2,29337,92.81,Commercial,RWU,2022
248,CL2,2,29340,103.14,Commercial,RWU,2022
249,CL2,2,29344,99.65,Commercial,RWU,2022
250,CL2,2,29345,56.29,Commercial,RWU,2022
251,CL2,2,29349,75.4,Commercial,RWU,2022
252,CL2,2,29353,57.35,Commercial,RWU,2022
253,CL2,2,29355,61.1,Commercial,RWU,2022
254,CL2,2,29356,70.19,Commercial,RWU,2022
255,CL2,2,29357,93.42,Commercial,RWU,2022
256,CL2,2,29358,54.91,Commercial,RWU,2022
257,CL2,2,29361,69.65,Commercial,RWU,2022
258,CL2,2,29363,102.05,Commercial,RWU,2022
259,CL2,2,29365,89.46,Commercial,RWU,2022
260,CL2,2,29367,89.84,Commercial,RWU,2022
261,CL2,2,29369,62.74,Commercial,RWU,2022
262,CL2,2,29380,88.91,Commercial,RWU,2022
263,CL2,2,29381,65.67,Commercial,RWU,2022
264,CL2,2,29382,70.03,Commercial,RWU,2022
265,CL2,2,29384,90.88,Commercial,RWU,2022
266,CL2,2,29385,89.55,Commercial,RWU,2022
267,CL2,2,29387,77.96,Commercial,RWU,2022
268,CL2,2,29388,84.48,Commercial,RWU,2022
269,CL2,2,29389,83.39,Commercial,RWU,2022
270,CL2,2,29390,101.38,Commercial,RWU,2022
271,CL2,2,29391,104.15,Commercial,RWU,2022
272,CL2,2,29393,76.76,Commercial,RWU,2022
273,CL2,2,29394,98.04,Commercial,RWU,2022
274,CL2,2,29395,65.63,Commercial,RWU,2022
275,CL2,2,29397,76.52,Commercial,RWU,2022
276,CL2,2,29398,80.07,Commercial,RWU,2022
277,CL2,2,29399,89.09,Commercial,RWU,2022
278,CL2,2,29400,84.92,Commercial,RWU,2022
279,CL2,2,29401,84.92,Commercial,RWU,2022
280,CL2,2,29403,56.23,Commercial,RWU,2022
281,CL2,2,29404,83.68,Commercial,RWU,2022
282,CL2,2,29405,77.73,Commercial,RWU,2022
283,CL2,2,29407,59.44,Commercial,RWU,2022
284,MV,3,29411,61.16,Wild,RWU,2022
285,MV,3,29418,67.02,Wild,RWU,2022
286,NR,2,29427,63.74,Wild,RWU,2022
287,NR,2,29428,38.67,Wild,RWU,2022
288,NR,2,29429,53.67,Wild,RWU,2022
289,MV,3,29435,55.49,Wild,RWU,2022
290,NR,2,29438,47.68,Wild,RWU,2022
291,NR,2,29440,44.8,Wild,RWU,2022
292,NR,2,29442,47.48,Wild,RWU,2022
293,CL1,1,29852,93.68,Commercial,RWU,2022
294,CL1,1,29853,68.19,Commercial,RWU,2022
295,NR,2,29458,52.77,Wild,RWU,2022
296,CL1,1,29855,84.62,Commercial,RWU,2022
297,NR,2,29479,55.9,Wild,RWU,2022
298,NR,2,29484,35.06,Wild,RWU,2022
299,NR,2,29486,45.83,Wild,RWU,2022
300,CL1,1,29860,78.64,Commercial,RWU,2022
301,CL1,1,29865,91.65,Commercial,RWU,2022
302,CL1,1,29869,98.43,Commercial,RWU,2022
303,CT,2,29508,39.64,Wild,RWU,2022
304,CT,2,29509,68.54,Wild,RWU,2022
305,CT,2,29512,85.04,Wild,RWU,2022
306,CT,1,29513,83.14,Wild,RWU,2022
307,CT,2,29514,78.2,Wild,RWU,2022
308,CT,2,29515,80.25,Wild,RWU,2022
309,CT,2,29516,63.5,Wild,RWU,2022
310,CT,2,29518,55,Wild,RWU,2022
311,CT,2,29519,58.11,Wild,RWU,2022
312,CT,2,29520,67.54,Wild,RWU,2022
313,CT,2,29521,59.55,Wild,RWU,2022
314,CT,2,29522,68.46,Wild,RWU,2022
315,CT,2,29523,61.59,Wild,RWU,2022
316,CT,2,29525,49.69,Wild,RWU,2022
317,CT,1,29526,60.68,Wild,RWU,2022
318,CT,1,29527,63.68,Wild,RWU,2022
319,CT,2,29528,60.69,Wild,RWU,2022
320,CT,2,29529,75.69,Wild,RWU,2022
321,CT,1,29531,77.22,Wild,RWU,2022
322,CT,2,29532,53.92,Wild,RWU,2022
323,CT,1,29534,51.33,Wild,RWU,2022
324,CT,2,29537,51.94,Wild,RWU,2022
325,CT,1,29538,72.72,Wild,RWU,2022
326,CT,2,29539,53.79,Wild,RWU,2022
327,CT,2,29540,76.73,Wild,RWU,2022
328,CT,1,29541,67.39,Wild,RWU,2022
329,CT,2,29542,57.6,Wild,RWU,2022
330,CT,2,29543,63.36,Wild,RWU,2022
331,CT,2,29544,66.94,Wild,RWU,2022
332,CT,2,29545,74.32,Wild,RWU,2022
333,CT,2,29546,55.35,Wild,RWU,2022
334,CT,1,29547,62.41,Wild,RWU,2022
335,CL1,1,29870,88.45,Commercial,RWU,2022
336,CT,2,29550,47.62,Wild,RWU,2022
337,CT,2,29551,63.57,Wild,RWU,2022
338,CT,2,29552,65.48,Wild,RWU,2022
339,CT,2,29553,63.19,Wild,RWU,2022
340,CT,2,29557,69.64,Wild,RWU,2022
341,CT,1,29558,58.76,Wild,RWU,2022
342,CT,1,29559,53.56,Wild,RWU,2022
343,CT,1,29561,56.51,Wild,RWU,2022
344,CT,2,29562,62.23,Wild,RWU,2022
345,CT,2,29563,71.5,Wild,RWU,2022
346,CT,1,29564,54.77,Wild,RWU,2022
347,CT,1,29566,58.22,Wild,RWU,2022
348,CT,2,29567,76.56,Wild,RWU,2022
349,CT,1,29568,71.37,Wild,RWU,2022
350,CT,2,29569,65.41,Wild,RWU,2022
351,CT,1,29571,57.08,Wild,RWU,2022
352,CT,2,29572,75.83,Wild,RWU,2022
353,CT,2,29575,53.35,Wild,RWU,2022
354,CL1,1,29871,51.32,Commercial,RWU,2022
355,CT,2,29582,60.68,Wild,RWU,2022
356,CT,2,29583,59.43,Wild,RWU,2022
357,CT,2,29584,50.03,Wild,RWU,2022
358,CT,1,29587,60.94,Wild,RWU,2022
359,CT,1,29588,61.34,Wild,RWU,2022
360,CT,2,29589,68.62,Wild,RWU,2022
361,CT,2,29591,68.13,Wild,RWU,2022
362,CT,1,29594,63.6,Wild,RWU,2022
363,CT,2,29595,75.22,Wild,RWU,2022
364,CT,2,29596,64.4,Wild,RWU,2022
365,CT,2,29597,58.46,Wild,RWU,2022
366,CT,2,29598,71.54,Wild,RWU,2022
367,CT,2,29599,65.61,Wild,RWU,2022
368,CT,2,29601,62.99,Wild,RWU,2022
369,CT,2,29602,40.85,Wild,RWU,2022
370,CT,2,29604,62.12,Wild,RWU,2022
371,CT,1,29606,59.83,Wild,RWU,2022
372,CT,1,29607,76.4,Wild,RWU,2022
373,CT,1,29608,71.09,Wild,RWU,2022
374,CT,1,29609,61.71,Wild,RWU,2022
375,CT,1,29614,64.79,Wild,RWU,2022
376,CT,1,29615,69.07,Wild,RWU,2022
377,MV,1,29616,51.53,Wild,RWU,2022
378,MV,1,29622,50.76,Wild,RWU,2022
379,CT,1,29623,52.95,Wild,RWU,2022
380,MV,1,29626,45.71,Wild,RWU,2022
381,CT,1,29628,64.93,Wild,RWU,2022
382,CT,1,29629,65.25,Wild,RWU,2022
383,CT,1,29630,57.93,Wild,RWU,2022
384,MV,1,29631,64.26,Wild,RWU,2022
385,MV,1,29632,49.47,Wild,RWU,2022
386,MV,1,29634,45.11,Wild,RWU,2022
387,CT,1,29638,62.31,Wild,RWU,2022
388,CT,1,29639,71.46,Wild,RWU,2022
389,MV,1,29644,42.14,Wild,RWU,2022
390,CT,1,29645,67.64,Wild,RWU,2022
391,CL2,1,29646,83.73,Commercial,RWU,2022
392,MV,1,29648,52.44,Wild,RWU,2022
393,CL2,1,29650,78.11,Commercial,RWU,2022
394,MV,1,29653,52.82,Wild,RWU,2022
395,MV,1,29655,53.3,Wild,RWU,2022
396,MV,1,29656,58.99,Wild,RWU,2022
397,MV,1,29658,40.4,Wild,RWU,2022
398,CT,1,29659,66.13,Wild,RWU,2022
399,MV,1,29662,54.63,Wild,RWU,2022
400,MV,1,29667,58.3,Wild,RWU,2022
401,CL2,1,29668,80.22,Commercial,RWU,2022
402,CT,1,29669,65.09,Wild,RWU,2022
403,CT,1,29672,54.1,Wild,RWU,2022
404,MV,1,29675,57.14,Wild,RWU,2022
405,CT,1,29676,54.52,Wild,RWU,2022
406,CL2,1,29677,74.2,Commercial,RWU,2022
407,CL2,1,29678,60.44,Commercial,RWU,2022
408,MV,1,29680,45.64,Wild,RWU,2022
409,CL2,1,29681,85.56,Commercial,RWU,2022
410,MV,1,29682,52.17,Wild,RWU,2022
411,MV,1,29684,59.56,Wild,RWU,2022
412,CT,1,29686,51.28,Wild,RWU,2022
413,MV,1,29687,48.75,Wild,RWU,2022
414,CL2,1,29692,60.02,Commercial,RWU,2022
415,CL2,1,29693,104.44,Commercial,RWU,2022
416,CT,1,29696,58.7,Wild,RWU,2022
417,MV,1,29698,55.16,Wild,RWU,2022
418,CL2,1,29699,65.76,Commercial,RWU,2022
419,CL2,1,29702,75.83,Commercial,RWU,2022
420,CL2,1,29706,67.65,Commercial,RWU,2022
421,CT,1,29707,40.31,Wild,RWU,2022
422,CL2,1,29708,77.7,Commercial,RWU,2022
423,CL2,1,29709,97.83,Commercial,RWU,2022
424,CL2,1,29710,89.38,Commercial,RWU,2022
425,CL2,1,29715,100.02,Commercial,RWU,2022
426,CL2,1,29718,76.35,Commercial,RWU,2022
427,CL2,1,29719,77.89,Commercial,RWU,2022
428,GH,1,29722,61.09,Wild,RWU,2022
429,GH,1,29723,74.37,Wild,RWU,2022
430,CL2,1,29728,56.72,Commercial,RWU,2022
431,CL2,1,29730,80.39,Commercial,RWU,2022
432,CL2,1,29731,71.67,Commercial,RWU,2022
433,GH,1,29732,70.81,Wild,RWU,2022
434,CL2,1,29733,98.53,Commercial,RWU,2022
435,CL2,1,29734,91.7,Commercial,RWU,2022
436,GH,1,29738,56.49,Wild,RWU,2022
437,GH,1,29742,66.27,Wild,RWU,2022
438,GH,1,29757,55.85,Wild,RWU,2022
439,GH,1,29759,63.79,Wild,RWU,2022
440,GH,1,29760,60.98,Wild,RWU,2022
441,GH,1,29761,74.11,Wild,RWU,2022
442,GH,1,29780,65.2,Wild,RWU,2022
443,CL2,1,29781,77.2,Commercial,RWU,2022
444,GH,1,29784,63.42,Wild,RWU,2022
445,GH,1,29787,61.02,Wild,RWU,2022
446,GH,1,29789,60.84,Wild,RWU,2022
447,GH,1,29790,70.29,Wild,RWU,2022
448,CL2,1,29792,67.21,Commercial,RWU,2022
449,CL1,1,29874,71.79,Commercial,RWU,2022
450,CL2,1,29794,85.36,Commercial,RWU,2022
451,GH,1,29797,54.65,Wild,RWU,2022
452,CL2,1,29798,64.89,Commercial,RWU,2022
453,CL2,1,29799,68.8,Commercial,RWU,2022
454,CL1,1,29876,52.1,Commercial,RWU,2022
455,CL1,1,29883,83.39,Commercial,RWU,2022
456,CL1,1,29885,98.64,Commercial,RWU,2022
457,CL1,1,29886,76.92,Commercial,RWU,2022
458,CL1,1,29891,66.04,Commercial,RWU,2022
459,CL1,1,29892,100.01,Commercial,RWU,2022
